reg,BC,POM,SO2,NH3,NOx,NMVOC
AUT,0.43203142,0.348025311,0.025092734,0.150556404,0.037093607,0.007200524
CHE,0.327796038,0.359776139,0.025761748,0.234520743,0.04619348,0.005951852
BLX,0.496780752,0.318536089,0.018298882,0.140969163,0.018976618,0.006438495
ESP,0.615498311,0.27027027,0.03589527,0.03589527,0.03589527,0.006545608
FIN,0.466478629,0.314601866,0.015187676,0.171403775,0.02169668,0.010631373
FRA,0.498240676,0.337790289,0.039408867,0.066150598,0.047853624,0.010555947
GBR,0.518272016,0.359894004,0.016638935,0.089973501,0.00986011,0.005361435
GRC,0.472743723,0.314408505,0.056548292,0.049762497,0.088215336,0.018321647
ITA,0.502759779,0.322774178,0.033597312,0.083993281,0.046796256,0.010079194
RFA,0.491973071,0.34438115,0.02675643,0.098394614,0.031935094,0.006559641
SWE,0.480451274,0.33456526,0.033067497,0.081696168,0.060299553,0.009920249
TUR,0.389793363,0.372573575,0.064182843,0.073575454,0.087664371,0.012210394
NOR,0.517634437,0.388896339,0.018774306,0.026820437,0.041571678,0.006302803
BGR,0.412094065,0.353863382,0.049272116,0.089585666,0.082866741,0.012318029
HUN,0.43558385,0.351817725,0.031831127,0.12732451,0.043558385,0.009884403
POL,0.435261708,0.336088154,0.031221304,0.148760331,0.036730946,0.011937557
RCEU,0.406818182,0.343181818,0.043181818,0.113636364,0.081818182,0.011363636
RCZ,0.420469849,0.348645818,0.026934012,0.157115068,0.03740835,0.009426904
ROM,0.420869565,0.375652174,0.043478261,0.083478261,0.066086957,0.010434783
MEME,0.41153248,0.448618256,0.046656299,0.050245245,0.034693145,0.008254576
NOA,0.415759687,0.433173705,0.063125816,0.015237266,0.063125816,0.00957771
EGY,0.504361544,0.400426875,0.016239792,0.057999258,0.015775798,0.005196733
GOLF,0.430658805,0.371699564,0.125608818,-0.046142015,0.105101256,0.013073571
WAF,0.355078448,0.289017341,0.074318745,-0.008257638,0.272502064,0.01734104
EAF,0.363636364,0.289256198,0.165289256,0.016528926,0.157024793,0.008264463
SAF,0.385438972,0.321199143,0.149892934,0.021413276,0.117773019,0.004282655
RSA,0.513756317,0.387422796,0.039303762,0.039303762,0.016844469,0.003368894
KAZ,0.367454068,0.288713911,0.052493438,0.089238845,0.17847769,0.023622047
RIS,0.433060109,0.419398907,0.034153005,0.058743169,0.046448087,0.008196721
RUS,0.499347258,0.367167102,0.017950392,0.068537859,0.037532637,0.009464752
RUE,0.365699874,0.220680958,0.069356873,0.056746532,0.26481715,0.022698613
UKR,0.443666083,0.404261529,0.032107414,0.064214828,0.046701693,0.009048453
COR,0.373204457,0.353067526,0.045643711,0.165122835,0.013424621,0.049536851
JPN,0.438897047,0.385054658,0.031000163,0.101158427,0.031000163,0.012889542
AUS,0.629722922,0.214105793,0.062972292,0.025188917,0.062972292,0.005037783
NZL,0.515873016,0.357142857,0.03968254,0.03968254,0.03968254,0.007936508
PAC,0.243902439,0.278745645,0.087108014,0.156794425,0.226480836,0.006968641
MON,0.473160385,0.399738946,0.044868657,0.021210638,0.064447708,-0.003426334
CHN,0.309169249,0.409705949,0.048378562,0.085418399,0.133041046,0.014286794
TWN,0.408768749,0.383220702,0.044503049,0.087357837,0.064282182,0.01186748
RSAS,0.455754871,0.422710497,0.055360055,0.004935199,0.058793237,0.002446142
NDE,0.467347641,0.401698611,0.055778721,0.010099851,0.061976357,0.003098818
IDN,0.405485987,0.30411449,0.143112701,0.005963029,0.137149672,0.00417412
THA,0.371802499,0.324211779,0.08625818,0.01189768,0.199286139,0.006543724
MYS,0.434782609,0.282021152,0.099882491,0.011750881,0.164512338,0.007050529
PHL,0.447050202,0.434835715,0.030536216,0.036643459,0.046415048,0.00451936
VNM,0.355450237,0.404666424,0.080204156,0.020051039,0.138534451,0.001093693
RSEA,0.281872252,0.292216188,0.108611327,0.010343936,0.305146108,0.001810189
CAN,0.672593738,0.143022806,0.03092385,0.09277155,0.046385775,0.014302281
USA,0.569160615,0.309069414,0.021955751,0.074311772,0.015200135,0.010302314
BRA,0.634674923,0.205108359,0.108359133,0.015479876,0.034829721,0.001547988
MEX,0.527843758,0.316706255,0.042227501,0.039588282,0.06598047,0.007653734
RCAM,0.448087432,0.338797814,0.06557377,0.032786885,0.103825137,0.010928962
CHL,0.496083551,0.424281984,0.010879025,0.054395126,0.010879025,0.003481288
ARG,0.678899083,0.244648318,0.036697248,0.006116208,0.03058104,0.003058104
RSAM,0.505854801,0.257611241,0.159250585,0.032786885,0.042154567,0.00234192
